lat,lon,timezone,timezone_offset,dt,sunrise,sunset,temp,feels_like,pressure,humidity,dew_point,uvi,clouds,visibility,wind_speed,wind_deg,weather_id,weather_main,weather_desc,weather_icon
3.033,101.45,Asia/Kuala_Lumpur,28800,1736460000,1736464964,1736508006,25.66,26.61,1010,89,23.71,NA,20,10000,1.03,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1737990000,1737934040,1737977174,26.18,26.18,1011,89,24.22,NA,20,10000,0.0,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1736352000,1736378542,1736421580,26.76,29.97,1012,89,24.79,NA,20,10000,0.0,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1738850400,1738798094,1738841300,25.08,25.94,1009,88,22.95,NA,20,10000,1.54,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1737979200,1737934040,1737977174,27.28,29.63,1009,73,22.02,NA,20,9000,0.51,0,500,Rain,light rain,10n
3.033,101.45,Asia/Kuala_Lumpur,28800,1735722000,1735687143,1735730158,28.96,35.07,1007,82,25.57,NA,75,NA,1.81,242,500,Rain,light rain,10d
3.033,101.45,Asia/Kuala_Lumpur,28800,1737399600,1737415568,1737458664,25.9,26.87,1009,89,23.95,NA,20,10000,0.0,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1737615600,1737588395,1737631503,30.65,35.59,1009,66,23.57,NA,40,10000,4.12,290,802,Clouds,scattered clouds,03d
3.033,101.45,Asia/Kuala_Lumpur,28800,1736604000,1736551386,1736594432,25.81,26.61,1013,83,22.7,NA,20,10000,0.0,0,500,Rain,light rain,10n
3.033,101.45,Asia/Kuala_Lumpur,28800,1738522800,1738538887,1738582070,25.61,26.13,1009,73,20.41,NA,20,10000,1.54,320,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1735812000,1735773570,1735816587,29.59,29.23,1007,40,14.57,NA,92,NA,1.38,277,804,Clouds,overcast clouds,04d
3.033,101.45,Asia/Kuala_Lumpur,28800,1736830800,1736810648,1736853707,30.49,32.16,1012,52,19.52,NA,40,10000,1.54,180,802,Clouds,scattered clouds,03d
3.033,101.45,Asia/Kuala_Lumpur,28800,1735761600,1735773570,1735816587,26.28,26.28,1009,89,24.32,NA,20,10000,0.0,0,500,Rain,light rain,10n
3.033,101.45,Asia/Kuala_Lumpur,28800,1736398800,1736378542,1736421580,32.22,35.28,1012,52,21.12,NA,20,10000,1.54,0,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1738238400,1738193265,1738236420,27.75,30.68,1009,74,22.69,NA,20,10000,1.03,0,500,Rain,light rain,10n
3.033,101.45,Asia/Kuala_Lumpur,28800,1737284400,1737242737,1737285822,26.57,26.57,1008,89,24.61,NA,20,10000,0.0,0,501,Rain,moderate rain,10d
3.033,101.45,Asia/Kuala_Lumpur,28800,1736017200,1736032846,1736075871,25.68,26.76,1011,94,24.64,NA,20,7000,1.03,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1737489600,1737501982,1737545084,25.81,26.77,1009,89,23.86,NA,20,8000,0.0,0,500,Rain,light rain,10n
3.033,101.45,Asia/Kuala_Lumpur,28800,1737860400,1737847630,1737890757,26.08,26.08,1012,83,22.97,NA,20,9000,2.06,100,500,Rain,light rain,10d
3.033,101.45,Asia/Kuala_Lumpur,28800,1736020800,1736032846,1736075871,25.1,26.12,1010,94,24.07,NA,20,7000,0.0,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1736107200,1736119271,1736162299,25.84,26.93,1009,94,24.8,NA,20,9000,0.0,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1736575200,1736551386,1736594432,27.0,28.77,1013,69,20.83,NA,20,10000,2.06,300,500,Rain,light rain,10d
3.033,101.45,Asia/Kuala_Lumpur,28800,1737183600,1737156321,1737199400,29.4,33.62,1009,70,23.35,NA,20,10000,4.12,290,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1737810000,1737761219,1737804340,27.56,32.24,1009,89,25.58,NA,20,10000,0.0,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1736676000,1736637807,1736680858,27.51,29.64,1009,69,21.31,NA,20,10000,3.09,20,500,Rain,light rain,10d
3.033,101.45,Asia/Kuala_Lumpur,28800,1736697600,1736724228,1736767283,25.99,25.99,1012,83,22.88,NA,20,10000,0.0,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1738591200,1738538887,1738582070,27.4,30.42,1010,78,23.22,NA,20,10000,0.0,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1736442000,1736464964,1736508006,26.76,29.97,1013,89,24.79,NA,20,10000,0.0,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1736157600,1736119271,1736162299,27.44,29.52,1008,69,21.25,NA,100,NA,2.2,247,502,Rain,heavy intensity rain,10d
3.033,101.45,Asia/Kuala_Lumpur,28800,1737115200,1737069904,1737112978,26.81,30.11,1009,89,24.84,NA,20,9000,0.0,0,500,Rain,light rain,10n
3.033,101.45,Asia/Kuala_Lumpur,28800,1735747200,1735773570,1735816587,26.49,26.49,1011,91,24.9,NA,97,NA,0.99,62,804,Clouds,overcast clouds,04n
3.033,101.45,Asia/Kuala_Lumpur,28800,1737216000,1737242737,1737285822,25.83,26.79,1010,89,23.88,NA,20,10000,0.0,0,801,Clouds,few clouds,02n
3.033,101.45,Asia/Kuala_Lumpur,28800,1737219600,1737242737,1737285822,25.56,26.63,1010,94,24.52,NA,20,10000,0.0,0,500,Rain,light rain,10n
3.033,101.45,Asia/Kuala_Lumpur,28800,1738368000,1738366078,1738409246,25.65,26.59,1010,89,23.7,NA,20,10000,0.0,0,801,Clouds,few clouds,02d
3.033,101.45,Asia/Kuala_Lumpur,28800,1735912800,1735859996,1735903015,26.45,26.45,1011,89,24.49,NA,20,9000,1.03,0,801,Clouds,few clouds,02n
